time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,1.4,0.58,0,40.019325,116.28509,54.9,,12
1,0,1,1.98,0.6,0,40.019327,116.285088,54.9,,0
2,0,1,3.02,1.36,0,40.019328,116.28508,54.9,,1
3,0,1,3.97,0.74,0,40.019328,116.285068,54.9,,2
4,0,1,4.86,0.71,0,40.019326,116.285051,54.9,,2
5,0,1,5.95,1.31,0,40.019323,116.285029,54.9,,2
6,0,1,7.24,1.69,0,40.019319,116.285005,54.9,,2
7,0,1,8.86,2.49,0,40.019314,116.284977,54.8,,4
8,0,1,10.7,2.4,0,40.019309,116.284946,54.7,,2
9,0,1,12.69,2.73,0,40.019304,116.284913,54.5,,4
10,0,1,14.9,3.2,1,40.019298,116.284879,54.4,,4
11,0,1,17.33,3.53,1,40.019292,116.284844,54.3,,3
12,0,1,19.95,3.36,1,40.019287,116.284807,54.1,,6
13,0,1,22.67,3.05,1,40.019282,116.284771,54.0,,3
14,0,1,25.45,2.89,1,40.019277,116.284735,53.9,,3
15,0,1,28.28,2.9,1,40.019273,116.2847,53.7,,2
16,0,1,31.12,2.48,2,40.019267,116.284667,53.6,,1
17,0,1,34.06,3.1,2,40.019257,116.284638,53.5,,3
18,0,1,37.0,2.6,2,40.019249,116.284609,53.4,,4
19,0,1,39.92,2.53,2,40.019245,116.284577,53.3,,2
20,0,1,42.85,2.52,2,40.019243,116.284545,53.2,,3
21,0,1,45.78,2.4,2,40.019239,116.284517,53.1,,3
22,0,1,48.71,2.35,3,40.019229,116.284496,53.0,,3
23,0,1,51.63,2.27,3,40.019213,116.284482,52.9,,3
24,0,1,54.56,2.17,3,40.019192,116.284473,52.8,,3
25,0,1,57.48,2.36,3,40.019167,116.284468,52.7,,2
26,0,1,60.4,2.53,3,40.019139,116.284466,52.7,,3
27,0,1,63.33,2.89,3,40.019109,116.284466,52.7,,3
28,0,1,66.25,2.97,4,40.019078,116.284467,52.7,,2
29,0,1,69.17,2.86,4,40.019046,116.284468,52.7,,5
30,0,1,72.1,3.06,4,40.019014,116.28447,52.7,,4
31,0,1,75.02,2.87,4,40.018983,116.284472,52.7,,5
32,0,1,77.95,2.96,4,40.018952,116.284473,52.6,,6
