time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,2.7,2.89,0,40.003135,116.31636,48.0,,23
1,0,1,5.86,2.71,0,40.003142,116.316393,48.1,,0
2,0,1,9.12,2.94,0,40.00315,116.316425,48.3,,2
3,0,1,12.34,2.9,0,40.003159,116.316456,48.4,,2
4,0,1,15.55,2.9,0,40.00317,116.316486,48.6,,2
5,0,1,18.62,2.49,1,40.003182,116.316515,48.7,,1
6,0,1,21.64,2.52,1,40.003195,116.316541,48.9,,2
7,0,1,24.59,2.35,1,40.003209,116.316566,49.0,,1
8,0,1,27.52,2.49,1,40.003224,116.316588,49.2,,0
9,0,1,30.47,2.75,1,40.003241,116.316608,49.3,,3
10,0,1,33.44,2.76,1,40.003259,116.316626,49.5,,3
11,0,1,36.39,2.47,2,40.003277,116.31664,49.6,,3
12,0,1,39.28,2.19,2,40.003297,116.316651,49.8,,3
13,0,1,42.08,1.96,2,40.003318,116.316659,49.9,,3
14,0,1,44.83,2.15,2,40.00334,116.316663,50.0,,1
15,0,1,47.53,2.06,2,40.003363,116.316665,49.8,,3
16,0,1,50.18,1.99,2,40.003386,116.316664,49.7,,4
17,0,1,52.85,2.52,3,40.003411,116.316661,49.6,,2
18,0,1,55.57,2.85,3,40.003437,116.316658,49.5,,3
19,0,1,58.33,2.71,3,40.003463,116.316654,49.3,,3
20,0,1,61.14,2.8,3,40.00349,116.316651,49.2,,3
21,0,1,63.95,2.87,3,40.003518,116.316648,49.0,,3
22,0,1,66.76,3.02,3,40.003547,116.316647,48.9,,2
23,0,1,69.57,2.98,4,40.003576,116.316646,48.8,,4
24,0,1,72.39,2.91,4,40.003606,116.316646,48.6,,2
25,0,1,75.2,2.51,4,40.003637,116.316646,48.5,,3
26,0,1,78.02,2.95,4,40.003668,116.316646,48.3,,4
27,0,1,80.84,2.96,4,40.0037,116.316646,48.2,,2
28,0,1,83.66,3.19,4,40.003733,116.316647,48.0,,3
29,0,1,86.47,3.39,5,40.003766,116.316647,47.9,,4
30,0,1,89.29,3.51,5,40.0038,116.316647,47.7,,3
31,0,1,92.12,3.58,5,40.003834,116.316648,47.6,,2
32,0,1,94.94,3.72,5,40.003868,116.316647,47.4,,7
33,0,1,97.96,3.79,5,40.003903,116.316647,47.2,,7
34,0,1,101.12,3.6,5,40.003938,116.316646,47.1,,3
35,0,1,104.38,3.56,6,40.003973,116.316645,46.9,,1
36,0,1,107.76,3.92,6,40.004008,116.316643,46.7,,3
37,0,1,111.26,3.84,6,40.004043,116.31664,46.6,,3
38,0,1,114.82,3.68,6,40.004078,116.316637,46.4,,2
39,0,1,118.45,3.86,6,40.004113,116.316634,46.2,,4
40,0,1,122.15,3.76,7,40.004147,116.316629,46.1,,2
41,0,1,125.9,3.82,7,40.004182,116.316624,46.0,,4
42,0,1,129.68,3.63,7,40.004215,116.316617,46.1,,2
