time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.84,1.81,0,40.019421,116.285265,55.1,,8
1,0,1,3.64,2.36,0,40.019413,116.285242,55.1,,0
2,0,1,6.57,2.66,0,40.019406,116.285219,55.1,,1
3,0,1,9.37,2.21,0,40.019398,116.285194,55.1,,6
4,0,1,12.17,2.4,0,40.019391,116.285167,55.1,,6
5,0,1,14.91,2.18,0,40.019385,116.285139,55.1,,2
6,0,1,17.61,2.1,1,40.019378,116.28511,55.1,,6
7,0,1,20.27,2.05,1,40.019372,116.285079,55.1,,6
8,0,1,22.95,2.47,1,40.019365,116.285048,55.1,,3
9,0,1,25.71,2.78,1,40.019359,116.285016,55.1,,2
10,0,1,28.52,2.76,1,40.019353,116.284983,55.1,,1
11,0,1,31.38,2.67,1,40.019346,116.284949,54.9,,2
12,0,1,34.24,2.67,2,40.01934,116.284914,54.7,,4
13,0,1,37.13,2.8,2,40.019333,116.284879,54.6,,2
14,0,1,40.07,3.07,2,40.019326,116.284843,54.4,,3
15,0,1,43.06,3.14,2,40.019318,116.284807,54.3,,3
16,0,1,46.13,3.56,2,40.019311,116.28477,54.1,,1
17,0,1,49.34,4.11,2,40.019302,116.284734,54.0,,2
18,0,1,52.59,3.41,3,40.019294,116.284697,53.8,,3
19,0,1,55.83,2.87,3,40.019285,116.28466,53.7,,3
20,0,1,59.05,2.85,3,40.019275,116.284623,53.5,,3
21,0,1,62.28,2.83,3,40.019264,116.284586,53.4,,2
22,0,1,65.51,3.0,3,40.019253,116.284551,53.2,,3
23,0,1,68.74,2.88,4,40.01924,116.284518,53.1,,5
24,0,1,71.97,2.83,4,40.019225,116.284488,52.9,,6
25,0,1,75.2,3.29,4,40.019207,116.284462,52.8,,6
26,0,1,78.43,2.79,4,40.019187,116.284441,52.7,,2
27,0,1,81.66,2.55,4,40.019164,116.284427,52.6,,1
28,0,1,84.89,2.78,4,40.019138,116.284418,52.6,,3
29,0,1,88.12,2.8,5,40.019111,116.284413,52.6,,2
30,0,1,91.35,2.81,5,40.019081,116.284412,52.6,,4
31,0,1,94.58,3.19,5,40.019051,116.284414,52.6,,2
32,0,1,97.81,3.37,5,40.01902,116.284417,52.5,,3
33,0,1,101.04,3.23,5,40.01899,116.284422,52.5,,3
34,0,1,104.27,3.15,6,40.01896,116.284426,52.5,,5
35,0,1,107.5,3.0,6,40.018931,116.28443,52.5,,5
36,0,1,110.73,2.77,6,40.018903,116.284434,52.5,,5
37,0,1,113.96,2.78,6,40.018876,116.284439,52.5,,5
38,0,1,117.19,2.9,6,40.01885,116.284442,52.5,,3
39,0,1,120.42,2.59,6,40.018826,116.284446,52.5,,2
40,0,1,123.65,2.59,7,40.018802,116.28445,52.5,,4
41,0,1,126.88,2.52,7,40.018778,116.284454,52.5,,2
42,0,1,130.11,2.69,7,40.018753,116.284457,52.5,,3
43,0,1,133.34,2.68,7,40.018726,116.284461,52.5,,1
44,0,1,136.57,3.42,7,40.018696,116.284465,52.5,,3
45,0,1,139.8,3.29,8,40.018664,116.284468,52.5,,3
46,0,1,143.03,3.21,8,40.018633,116.284472,52.5,,3
47,0,1,146.25,3.11,8,40.018604,116.284477,52.5,,2
48,0,1,149.48,2.98,8,40.018576,116.284481,52.5,,3
49,0,1,152.93,2.92,8,40.018549,116.284486,52.5,,3
50,0,1,156.29,3.04,9,40.018523,116.284491,52.5,,3
51,0,1,159.29,2.65,9,40.018497,116.284496,52.5,,2
52,0,1,162.57,2.96,9,40.018469,116.284501,52.5,,4
53,0,1,165.75,2.86,9,40.018441,116.284506,52.5,,2
54,0,1,169.22,3.21,9,40.018411,116.28451,52.5,,3
55,0,1,172.58,3.07,9,40.018381,116.284514,52.4,,2
56,0,1,175.9,3.06,10,40.018351,116.284518,52.4,,1
57,0,1,179.27,3.2,10,40.01832,116.284521,52.4,,4
58,0,1,182.61,3.17,10,40.018291,116.284523,52.3,,1
59,0,1,182.61,3.24,10,40.018262,116.284525,52.2,,2
60,0,1,182.61,3.24,10,40.018234,116.284526,52.1,,1
61,0,1,185.54,2.67,11,40.018207,116.284526,52.0,,2
62,0,1,185.54,2.4,11,40.018182,116.284527,51.9,,4
63,0,1,185.54,2.43,11,40.018158,116.28453,51.8,,2
64,0,1,188.36,2.47,11,40.018134,116.284534,51.7,,3
