time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,7,1,0.0,0.0,0,,,,,0
1,7,1,0.0,0.0,0,,,,,0
2,7,1,,,,,,,,
3,7,1,0.62,0.31,0,,,,,1
4,7,1,2.47,1.85,0,,,,,4
5,7,1,3.5,1.03,0,,,,,1
6,7,1,4.43,0.93,0,,,,,1
7,7,1,5.41,0.99,0,,,,,2
8,7,1,6.44,1.03,0,,,,,2
9,7,1,7.33,0.88,0,,,,,0
10,7,1,8.17,0.85,0,,,,,1
11,7,1,9.0,0.82,0,,,,,1
12,7,1,9.8,0.8,0,,,,,1
13,7,1,10.64,0.84,0,,,,,2
14,7,1,11.47,0.82,0,,,,,1
15,7,1,12.37,0.9,0,,,,,3
16,7,1,13.3,0.93,0,,,,,2
17,7,1,14.28,0.99,0,,,,,3
18,7,1,15.33,1.04,0,,,,,3
19,7,1,16.34,1.02,0,,,,,1
20,7,1,17.41,1.06,0,,,,,3
21,7,1,18.48,1.07,1,,,,,2
22,7,1,19.59,1.11,1,,,,,3
23,7,1,20.71,1.12,1,,,,,2
24,7,1,22.56,1.85,1,,,,,2
25,7,1,23.18,0.62,1,,,,,1
26,7,1,24.96,1.78,1,,,,,2
27,7,1,26.81,1.86,1,,,,,2
28,7,1,28.85,2.03,1,,,,,3
29,7,1,30.97,2.13,1,,,,,3
30,7,1,33.1,2.12,2,,,,,2
31,7,1,35.28,2.18,2,,,,,3
32,7,1,37.54,2.27,2,,,,,3
33,7,1,39.82,2.28,2,,,,,2
34,7,1,42.17,2.35,2,,,,,4
35,7,1,44.51,2.34,2,,,,,2
36,7,1,46.87,2.36,3,,,,,3
37,7,1,49.24,2.37,3,,,,,5
38,7,1,51.61,2.37,3,,,,,3
39,7,1,53.92,2.32,3,,,,,3
40,7,1,56.24,2.31,3,,,,,3
41,7,1,58.55,2.31,3,,,,,4
42,7,1,60.72,2.17,3,,,,,2
43,7,1,62.9,2.18,4,,,,,1
44,7,1,65.06,2.15,4,,,,,3
45,7,1,67.21,2.16,4,,,,,3
46,7,1,69.45,2.23,4,,,,,3
47,7,1,71.67,2.23,4,,,,,2
48,7,1,,,,,,,,
49,7,1,73.87,1.1,4,,,,,3
50,7,1,76.26,2.39,5,,,,,3
51,7,1,78.73,2.46,5,,,,,3
52,7,1,81.19,2.47,5,,,,,2
53,7,1,83.66,2.47,5,,,,,4
54,7,1,86.16,2.5,5,,,,,3
55,7,1,88.69,2.53,6,,,,,4
56,7,1,91.06,2.37,6,,,,,0
57,7,1,93.64,2.58,6,,,,,3
58,7,1,96.35,2.7,6,,,,,4
59,7,1,99.07,2.73,6,,,,,2
60,7,1,101.78,2.71,6,,,,,3
61,7,1,104.48,2.69,7,,,,,5
62,7,1,107.13,2.65,7,,,,,6
63,7,1,109.78,2.65,7,,,,,5
64,7,1,112.4,2.62,7,,,,,5
65,7,1,114.98,2.58,7,,,,,5
66,7,1,117.42,2.44,8,,,,,2
67,7,1,119.82,2.4,8,,,,,3
68,7,1,122.2,2.37,8,,,,,4
69,7,1,124.53,2.34,8,,,,,2
70,7,1,126.83,2.3,8,,,,,3
71,7,1,129.12,2.28,8,,,,,3
72,7,1,131.4,2.28,9,,,,,4
73,7,1,133.69,2.29,9,,,,,3
74,7,1,135.97,2.28,9,,,,,3
75,7,1,138.27,2.3,9,,,,,3
76,7,1,140.44,2.18,9,,,,,2
77,7,1,142.51,2.06,9,,,,,3
78,7,1,144.48,1.98,9,,,,,3
79,7,1,146.37,1.89,10,,,,,3
80,7,1,148.16,1.79,10,,,,,3
81,7,1,150.0,1.84,10,,,,,3
82,7,1,151.83,1.84,10,,,,,2
83,7,1,153.69,1.85,10,,,,,4
84,7,1,155.61,1.93,10,,,,,2
85,7,1,157.55,1.94,10,,,,,3
86,7,1,159.51,1.96,11,,,,,3
87,7,1,161.48,1.97,11,,,,,4
88,7,1,163.5,2.02,11,,,,,4
89,7,1,165.54,2.04,11,,,,,2
90,7,1,167.59,2.04,11,,,,,5
91,7,1,169.66,2.07,11,,,,,3
92,7,1,171.72,2.06,12,,,,,2
93,7,1,173.82,2.1,12,,,,,3
94,7,1,175.91,2.09,12,,,,,4
95,7,1,177.99,2.08,12,,,,,6
96,7,1,180.06,2.07,12,,,,,5
97,7,1,182.15,2.09,12,,,,,6
98,7,1,184.25,2.09,12,,,,,4
99,7,1,186.35,2.11,13,,,,,4
100,7,1,188.46,2.11,13,,,,,3
101,7,1,190.62,2.16,13,,,,,3
102,7,1,192.78,2.16,13,,,,,6
103,7,1,194.93,2.15,13,,,,,3
104,7,1,197.09,2.16,13,,,,,3
105,7,1,199.25,2.16,13,,,,,2
106,7,1,201.29,2.04,14,,,,,1
107,7,1,203.37,2.08,14,,,,,6
108,7,1,205.49,2.13,14,,,,,3
109,7,1,207.65,2.16,14,,,,,2
110,7,1,209.81,2.15,14,,,,,3
111,7,1,211.96,2.15,14,,,,,4
112,7,1,214.11,2.15,15,,,,,3
113,7,1,216.24,2.13,15,,,,,3
114,7,1,218.38,2.14,15,,,,,5
115,7,1,220.53,2.16,15,,,,,3
116,7,1,222.73,2.19,15,,,,,4
117,7,1,224.88,2.15,15,,,,,3
118,7,1,227.04,2.16,15,,,,,2
119,7,1,229.17,2.13,16,,,,,4
120,7,1,231.32,2.15,16,,,,,2
121,7,1,233.46,2.14,16,,,,,4
122,7,1,235.57,2.11,16,,,,,5
123,7,1,237.66,2.09,16,,,,,5
124,7,1,239.78,2.12,16,,,,,7
125,7,1,241.93,2.16,17,,,,,3
126,7,1,244.06,2.12,17,,,,,6
127,7,1,246.12,2.06,17,,,,,5
128,7,1,248.19,2.07,17,,,,,4
129,7,1,250.24,2.05,17,,,,,4
130,7,1,252.3,2.06,17,,,,,5
131,7,1,254.33,2.03,17,,,,,6
132,7,1,256.3,1.98,18,,,,,3
133,7,1,258.26,1.96,18,,,,,3
134,7,1,260.2,1.94,18,,,,,5
135,7,1,262.16,1.96,18,,,,,3
136,7,1,264.1,1.94,18,,,,,3
137,7,1,266.02,1.92,18,,,,,2
138,7,1,267.94,1.92,19,,,,,4
139,7,1,269.86,1.92,19,,,,,2
140,7,1,271.78,1.92,19,,,,,3
141,7,1,273.72,1.94,19,,,,,4
142,7,1,275.65,1.93,19,,,,,4
143,7,1,277.58,1.93,19,,,,,4
144,7,1,279.46,1.87,19,,,,,5
145,7,1,281.32,1.86,20,,,,,3
146,7,1,283.18,1.87,20,,,,,6
147,7,1,285.05,1.86,20,,,,,4
148,7,1,286.89,1.85,20,,,,,4
149,7,1,288.71,1.82,20,,,,,5
150,7,1,290.53,1.82,20,,,,,3
151,7,1,292.34,1.81,20,,,,,3
152,7,1,294.15,1.8,20,,,,,6
153,7,1,295.98,1.83,21,,,,,4
154,7,1,297.82,1.84,21,,,,,3
155,7,1,299.67,1.85,21,,,,,4
156,7,1,301.48,1.82,21,,,,,5
157,7,1,303.3,1.81,21,,,,,4
158,7,1,305.08,1.78,21,,,,,6
159,7,1,306.85,1.77,21,,,,,4
160,7,1,308.65,1.81,21,,,,,6
161,7,1,310.45,1.79,22,,,,,3
162,7,1,312.23,1.78,22,,,,,4
163,7,1,314.0,1.77,22,,,,,3
164,7,1,315.77,1.77,22,,,,,2
165,7,1,317.55,1.78,22,,,,,2
166,7,1,319.33,1.78,22,,,,,5
167,7,1,321.12,1.79,22,,,,,6
168,7,1,322.87,1.75,22,,,,,5
169,7,1,324.63,1.75,23,,,,,4
170,7,1,326.34,1.72,23,,,,,6
171,7,1,328.05,1.71,23,,,,,3
172,7,1,329.73,1.68,23,,,,,5
173,7,1,331.37,1.64,23,,,,,5
174,7,1,333.03,1.66,23,,,,,4
175,7,1,334.68,1.65,23,,,,,3
176,7,1,336.32,1.65,23,,,,,3
177,7,1,337.94,1.61,23,,,,,5
178,7,1,339.54,1.6,24,,,,,3
179,7,1,341.14,1.61,24,,,,,3
180,7,1,342.77,1.63,24,,,,,3
181,7,1,344.41,1.64,24,,,,,2
182,7,1,346.07,1.66,24,,,,,4
183,7,1,347.73,1.66,24,,,,,5
184,7,1,349.39,1.66,24,,,,,4
185,7,1,351.04,1.65,24,,,,,4
186,7,1,352.68,1.64,24,,,,,3
187,7,1,354.34,1.66,25,,,,,2
188,7,1,356.0,1.66,25,,,,,5
189,7,1,357.69,1.69,25,,,,,3
190,7,1,359.39,1.7,25,,,,,4
191,7,1,361.09,1.7,25,,,,,5
