time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,1.54,1.8,0,31.5517,120.246328,6.5,,7
1,0,1,3.58,1.64,0,31.551715,120.246328,6.5,,0
2,0,1,5.67,1.8,0,31.551731,120.246325,6.5,,2
3,0,1,7.83,1.97,0,31.551749,120.246322,6.4,,1
4,0,1,9.99,1.97,0,31.551768,120.246318,6.4,,2
5,0,1,12.19,2.15,0,31.551788,120.246315,6.4,,6
6,0,1,14.46,2.33,0,31.551809,120.246313,6.3,,6
7,0,1,16.8,2.44,0,31.551831,120.246312,6.3,,3
8,0,1,19.22,2.64,1,31.551853,120.246313,6.2,,3
9,0,1,21.68,2.49,1,31.551877,120.246317,6.1,,2
10,0,1,24.18,2.6,1,31.5519,120.246324,6.0,,5
11,0,1,26.71,2.54,1,31.551922,120.246334,5.9,,4
12,0,1,29.27,2.5,1,31.551941,120.246348,5.8,,7
13,0,1,31.81,2.3,1,31.551957,120.246365,5.7,,4
14,0,1,34.37,2.41,2,31.551972,120.246384,5.6,,4
15,0,1,36.88,2.0,2,31.551987,120.246402,5.5,,5
16,0,1,39.36,2.07,2,31.552005,120.246418,5.4,,3
17,0,1,41.85,2.37,2,31.552025,120.246432,5.3,,3
18,0,1,44.38,2.65,2,31.552049,120.246445,5.2,,4
19,0,1,46.97,3.1,2,31.552074,120.246461,5.1,,4
20,0,1,49.65,3.15,2,31.552101,120.246476,5.0,,1
21,0,1,52.33,2.85,3,31.552127,120.24649,4.9,,2
22,0,1,55.01,2.45,3,31.552152,120.2465,4.9,,3
23,0,1,57.69,2.62,3,31.552175,120.246508,4.8,,1
24,0,1,60.37,2.26,3,31.552196,120.246514,4.7,,3
25,0,1,63.05,1.92,3,31.552215,120.246519,4.7,,3
26,0,1,65.72,1.81,3,31.552233,120.246523,4.7,,2
27,0,1,68.4,1.75,4,31.55225,120.246525,4.6,,2
28,0,1,71.08,1.76,4,31.552268,120.246525,4.6,,1
29,0,1,73.75,1.5,4,31.552287,120.246524,4.6,,7
30,0,1,76.43,1.93,4,31.552307,120.246522,4.5,,7
31,0,1,79.1,1.77,4,31.552329,120.246518,4.5,,2
32,0,1,81.77,2.15,4,31.552352,120.246513,4.5,,6
33,0,1,84.44,2.3,4,31.552375,120.246507,4.4,,6
34,0,1,87.11,2.16,5,31.552398,120.2465,4.4,,3
35,0,1,89.77,2.21,5,31.55242,120.246492,4.4,,2
36,0,1,92.44,2.25,5,31.552443,120.246483,4.3,,3
37,0,1,95.1,2.17,5,31.552465,120.246473,4.3,,3
38,0,1,97.76,1.95,5,31.552486,120.246463,4.3,,3
39,0,1,100.42,1.75,5,31.552508,120.246454,4.2,,2
40,0,1,103.08,2.03,5,31.552529,120.246444,4.2,,3
41,0,1,105.74,2.33,6,31.552551,120.246436,4.1,,4
42,0,1,108.4,2.0,6,31.552572,120.246428,4.0,,4
43,0,1,111.06,1.96,6,31.552594,120.246421,4.0,,3
44,0,1,113.72,2.17,6,31.552616,120.246416,3.9,,2
45,0,1,116.38,2.24,6,31.552638,120.246412,3.8,,3
