time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.21,0.32,0,40.019344,116.285057,55.0,,15
1,0,1,0.53,0.31,0,40.019346,116.28504,55.0,,0
2,0,1,1.68,1.35,0,40.019347,116.285022,55.1,,1
3,0,1,3.17,1.58,0,40.019346,116.285003,55.1,,6
4,0,1,4.92,1.93,0,40.019344,116.284985,55.0,,5
5,0,1,6.82,1.93,0,40.019341,116.284965,54.9,,1
6,0,1,8.8,1.87,0,40.019337,116.284945,54.8,,2
7,0,1,10.84,1.8,0,40.019333,116.284925,54.7,,3
8,0,1,12.92,1.83,0,40.019329,116.284905,54.7,,3
9,0,1,15.01,1.73,0,40.019325,116.284884,54.6,,4
10,0,1,17.11,1.8,1,40.019321,116.284863,54.5,,2
11,0,1,19.23,1.73,1,40.019317,116.284842,54.4,,2
12,0,1,21.33,1.64,1,40.019314,116.284821,54.3,,3
13,0,1,23.45,1.81,1,40.019312,116.2848,54.2,,3
14,0,1,25.57,1.78,1,40.019312,116.284778,54.2,,2
15,0,1,27.71,1.82,1,40.019311,116.284757,54.1,,3
16,0,1,29.88,1.99,1,40.019311,116.284735,54.0,,3
17,0,1,32.09,2.2,1,40.019311,116.284713,53.9,,1
18,0,1,34.37,2.37,2,40.019309,116.284691,53.9,,4
19,0,1,36.65,1.82,2,40.019305,116.284668,53.8,,4
20,0,1,38.94,2.19,2,40.019299,116.284643,53.7,,3
21,0,1,41.24,2.42,2,40.019292,116.284619,53.6,,2
22,0,1,43.54,1.99,2,40.019285,116.284593,53.5,,3
23,0,1,45.85,2.02,2,40.019278,116.284566,53.3,,3
24,0,1,48.15,2.64,2,40.019269,116.284539,53.2,,3
25,0,1,50.46,2.69,2,40.019258,116.284512,53.1,,3
26,0,1,52.77,2.73,3,40.019243,116.284485,53.0,,2
27,0,1,55.08,2.81,3,40.019224,116.28446,52.9,,3
28,0,1,57.39,2.7,3,40.019202,116.284436,52.7,,3
29,0,1,59.7,3.01,3,40.019178,116.284416,52.6,,3
30,0,1,62.02,3.24,3,40.019152,116.284398,52.6,,3
31,0,1,64.34,3.17,3,40.019125,116.284385,52.5,,2
32,0,1,66.67,2.85,4,40.019098,116.284377,52.5,,3
33,0,1,68.99,2.76,4,40.019072,116.284374,52.5,,2
34,0,1,71.47,2.82,4,40.019046,116.284376,52.5,,4
35,0,1,74.05,3.02,4,40.019019,116.284381,52.5,,3
36,0,1,76.72,2.83,4,40.018993,116.284388,52.5,,2
37,0,1,79.44,2.73,4,40.018965,116.284397,52.5,,3
38,0,1,82.23,2.88,4,40.018937,116.284405,52.5,,4
39,0,1,85.08,2.89,5,40.018908,116.284413,52.5,,2
40,0,1,87.99,3.02,5,40.018879,116.284419,52.5,,3
41,0,1,90.94,2.85,5,40.018849,116.284425,52.5,,4
42,0,1,93.97,3.24,5,40.01882,116.28443,52.5,,3
43,0,1,97.03,2.94,5,40.018792,116.284433,52.5,,3
44,0,1,100.1,2.89,6,40.018767,116.284436,52.5,,2
45,0,1,103.17,2.66,6,40.018743,116.284438,52.5,,4
46,0,1,106.19,2.25,6,40.018721,116.284439,52.5,,2
47,0,1,109.17,2.27,6,40.018701,116.28444,52.5,,3
48,0,1,112.12,2.17,6,40.018681,116.284442,52.5,,3
49,0,1,131.91,2.11,6,40.018661,116.284443,52.5,,2
50,0,1,134.63,2.26,7,40.018641,116.284445,52.5,,4
51,0,1,137.22,2.11,7,40.018621,116.284448,52.5,,2
52,0,1,139.73,2.15,7,40.018599,116.284452,52.5,,5
53,0,1,142.34,2.27,7,40.018577,116.284456,52.4,,3
54,0,1,144.92,2.25,7,40.018554,116.28446,52.4,,3
55,0,1,144.92,2.9,7,40.018531,116.284464,52.4,,3
56,0,1,144.92,2.58,8,40.018509,116.284468,52.4,,2
57,0,1,147.73,2.5,8,40.018487,116.284472,52.4,,3
58,0,1,150.36,2.29,8,40.018465,116.284475,52.4,,3
59,0,1,152.92,2.23,8,40.018443,116.284477,52.4,,4
60,0,1,152.92,2.19,8,40.018422,116.284478,52.4,,3
61,0,1,152.92,2.32,8,40.018402,116.284478,52.4,,3
62,0,1,155.37,2.12,9,40.018382,116.284478,52.4,,3
63,0,1,159.19,2.13,9,40.018363,116.284478,52.4,,3
64,0,1,161.62,2.07,9,40.018344,116.284476,52.4,,2
65,0,1,164.17,2.19,9,40.018325,116.284476,52.3,,4
66,0,1,166.84,2.16,9,40.018303,116.284476,52.3,,1
67,0,1,169.71,2.59,9,40.01828,116.284478,52.2,,3
68,0,1,172.74,2.72,10,40.018255,116.284481,52.1,,1
69,0,1,173.85,2.84,10,40.018229,116.284483,52.0,,2
70,0,1,176.72,2.59,10,40.018204,116.284483,51.9,,3
71,0,1,179.34,2.34,10,40.01818,116.28448,51.8,,2
72,0,1,181.86,2.72,10,40.018157,116.284476,51.7,,3
73,0,1,184.67,2.53,10,40.018134,116.284472,51.6,,3
74,0,1,187.63,2.56,11,40.018111,116.284468,51.5,,3
75,0,1,189.83,2.46,11,40.018089,116.284465,51.4,,3
76,0,1,192.58,2.26,11,40.018066,116.284464,51.3,,5
77,0,1,195.51,2.47,11,40.018044,116.284465,51.2,,3
78,0,1,197.77,2.11,11,40.018021,116.284469,51.1,,1
79,0,1,200.42,2.25,11,40.017999,116.284474,51.1,,1
80,0,1,203.26,2.41,11,40.017976,116.284481,51.0,,2
81,0,1,205.5,2.53,12,40.017953,116.28449,50.9,,2
82,0,1,208.32,2.48,12,40.017929,116.2845,50.8,,4
83,0,1,211.44,2.69,12,40.017905,116.284513,50.8,,2
84,0,1,214.08,3.21,12,40.017881,116.284527,50.7,,6
85,0,1,217.36,2.99,12,40.017857,116.284542,50.7,,6
86,0,1,220.57,2.83,12,40.017834,116.284559,50.6,,1
87,0,1,223.08,2.49,13,40.017811,116.284578,50.6,,1
88,0,1,225.83,2.44,13,40.01779,116.284598,50.6,,4
89,0,1,229.23,3.05,13,40.01777,116.284619,50.6,,3
90,0,1,231.51,2.67,13,40.017751,116.284642,50.6,,2
91,0,1,234.2,2.44,13,40.017733,116.284665,50.6,,4
92,0,1,236.87,2.42,13,40.017717,116.28469,50.6,,2
93,0,1,240.23,2.57,14,40.017703,116.284716,50.6,,3
94,0,1,247.45,2.91,14,40.01769,116.284742,50.7,,3
95,0,1,251.52,2.89,14,40.017678,116.28477,50.7,,3
96,0,1,254.64,2.79,14,40.017667,116.284798,50.8,,3
97,0,1,257.58,2.34,14,40.017658,116.284826,50.8,,3
98,0,1,260.11,2.35,14,40.01765,116.284855,50.9,,3
99,0,1,262.7,2.44,15,40.017644,116.284885,51.0,,2
100,0,1,265.31,2.31,15,40.017638,116.284915,51.1,,5
101,0,1,267.81,2.36,15,40.017634,116.284945,51.1,,5
102,0,1,270.35,2.25,15,40.017632,116.284975,51.2,,2
103,0,1,272.71,2.28,15,40.01763,116.285006,51.3,,1
104,0,1,275.23,2.64,15,40.01763,116.285037,51.3,,3
105,0,1,278.13,2.75,16,40.01763,116.285068,51.4,,3
106,0,1,281.16,2.61,16,40.017632,116.285099,51.4,,3
107,0,1,283.99,2.53,16,40.017634,116.28513,51.4,,4
108,0,1,286.76,2.5,16,40.017637,116.285162,51.5,,1
109,0,1,289.67,2.59,16,40.01764,116.285194,51.5,,4
110,0,1,292.6,2.65,16,40.017644,116.285226,51.5,,5
111,0,1,295.64,2.88,17,40.017648,116.285259,51.6,,2
112,0,1,298.85,2.82,17,40.017652,116.285292,51.6,,3
113,0,1,301.91,2.79,17,40.017657,116.285325,51.6,,5
114,0,1,304.91,2.93,17,40.017662,116.285358,51.7,,6
115,0,1,308.04,2.95,17,40.017666,116.285392,51.7,,6
116,0,1,311.11,2.72,17,40.017671,116.285425,51.7,,2
117,0,1,313.88,2.75,18,40.017675,116.285458,51.7,,2
118,0,1,316.7,2.63,18,40.017678,116.285491,51.8,,3
119,0,1,319.4,2.66,18,40.017681,116.285523,51.8,,3
120,0,1,322.08,2.59,18,40.017682,116.285554,51.8,,6
121,0,1,324.74,2.62,18,40.017683,116.285585,51.8,,6
122,0,1,327.44,2.59,18,40.017684,116.285615,51.9,,1
123,0,1,330.38,2.58,19,40.017684,116.285645,51.9,,2
124,0,1,333.11,2.57,19,40.017684,116.285675,51.9,,3
125,0,1,335.64,2.17,19,40.017685,116.285705,51.9,,2
126,0,1,337.87,1.9,19,40.017686,116.285736,51.9,,1
127,0,1,337.87,2.55,19,40.017688,116.285766,52.0,,1
128,0,1,337.87,2.93,19,40.017691,116.285798,52.0,,5
129,0,1,341.17,2.92,20,40.017695,116.28583,52.0,,2
