time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.7,0.99,0,40.019216,116.284744,53.6,,7
1,0,1,1.74,0.97,0,40.019213,116.284735,53.6,,0
2,0,1,2.83,1.14,0,40.019209,116.284722,53.5,,0
3,0,1,3.94,1.16,0,40.019205,116.284707,53.5,,2
4,0,1,5.2,1.35,0,40.019202,116.28469,53.4,,2
5,0,1,6.61,1.58,0,40.019198,116.284671,53.3,,2
6,0,1,8.15,1.79,0,40.019195,116.284651,53.3,,2
7,0,1,9.79,1.87,0,40.019191,116.28463,53.2,,2
8,0,1,11.56,1.92,0,40.019188,116.284609,53.1,,6
9,0,1,13.41,1.92,0,40.019185,116.284589,53.1,,6
10,0,1,15.3,1.73,1,40.019183,116.28457,53.0,,2
11,0,1,17.21,1.55,1,40.01918,116.284553,53.0,,3
12,0,1,19.07,1.28,1,40.019175,116.284536,52.9,,3
13,0,1,20.91,1.28,1,40.019167,116.284522,52.9,,3
14,0,1,22.77,1.64,1,40.019156,116.284508,52.8,,3
15,0,1,24.7,2.04,1,40.01914,116.284497,52.8,,2
16,0,1,26.71,2.26,1,40.01912,116.284487,52.7,,4
17,0,1,28.79,2.28,1,40.019098,116.284478,52.7,,2
18,0,1,30.92,2.33,1,40.019075,116.284472,52.7,,3
19,0,1,33.14,2.63,2,40.019052,116.284467,52.7,,3
20,0,1,35.44,2.7,2,40.019029,116.284463,52.7,,3
21,0,1,37.75,2.6,2,40.019005,116.284461,52.6,,3
22,0,1,40.06,2.06,2,40.018982,116.28446,52.6,,4
23,0,1,42.37,1.97,2,40.018959,116.28446,52.6,,1
24,0,1,44.68,2.33,2,40.018936,116.284461,52.6,,3
25,0,1,46.99,2.44,3,40.018912,116.284463,52.6,,2
26,0,1,49.29,2.63,3,40.018889,116.284465,52.6,,3
27,0,1,51.6,2.58,3,40.018866,116.284468,52.6,,3
28,0,1,53.91,2.35,3,40.018843,116.284471,52.6,,3
29,0,1,56.22,2.23,3,40.018819,116.284474,52.6,,2
30,0,1,58.53,2.41,3,40.018796,116.284477,52.6,,3
31,0,1,60.84,2.46,3,40.018773,116.28448,52.6,,3
32,0,1,63.15,2.35,4,40.01875,116.284482,52.6,,3
33,0,1,65.46,2.17,4,40.018727,116.284484,52.6,,4
34,0,1,67.77,1.96,4,40.018704,116.284486,52.6,,3
35,0,1,70.08,2.51,4,40.018681,116.284486,52.5,,3
36,0,1,72.4,2.24,4,40.018658,116.284486,52.5,,1
37,0,1,74.71,2.48,4,40.018635,116.284485,52.5,,3
38,0,1,77.03,2.39,5,40.018612,116.284483,52.5,,2
39,0,1,79.35,2.47,5,40.018589,116.284482,52.5,,3
40,0,1,81.66,2.47,5,40.018566,116.28448,52.5,,3
41,0,1,83.98,2.84,5,40.018543,116.284478,52.5,,3
42,0,1,86.3,2.77,5,40.018519,116.284477,52.5,,2
43,0,1,88.63,2.5,5,40.018496,116.284477,52.4,,2
44,0,1,90.95,2.56,5,40.018473,116.284477,52.4,,3
45,0,1,93.27,2.5,6,40.018449,116.284479,52.4,,2
46,0,1,95.6,2.61,6,40.018425,116.284481,52.4,,3
47,0,1,97.92,2.06,6,40.018401,116.284484,52.4,,3
48,0,1,100.25,2.01,6,40.018377,116.284488,52.4,,2
49,0,1,122.26,2.42,6,40.018353,116.284491,52.4,,4
50,0,1,124.76,2.06,6,40.018329,116.284495,52.4,,2
51,0,1,127.7,2.62,7,40.018304,116.284499,52.3,,3
52,0,1,131.01,2.99,7,40.018279,116.284502,52.2,,3
53,0,1,134.63,3.3,7,40.018253,116.284504,52.1,,3
54,0,1,137.71,2.76,7,40.018228,116.284506,52.0,,3
55,0,1,140.69,2.66,7,40.018202,116.284506,51.9,,2
56,0,1,143.73,2.72,7,40.018178,116.284507,51.8,,3
57,0,1,146.41,2.33,7,40.018154,116.284507,51.7,,3
58,0,1,149.09,2.27,8,40.018133,116.284508,51.6,,3
59,0,1,149.09,1.86,8,40.018113,116.284509,51.6,,3
60,0,1,149.09,1.98,8,40.018095,116.284511,51.5,,5
61,0,1,151.6,2.13,8,40.018077,116.284514,51.4,,4
62,0,1,151.6,2.1,8,40.018058,116.284517,51.4,,4
63,0,1,151.6,1.75,8,40.018038,116.284521,51.3,,2
64,0,1,153.92,1.88,8,40.018017,116.284526,51.2,,4
65,0,1,158.72,2.53,9,40.017994,116.284532,51.2,,2
66,0,1,161.67,2.51,9,40.017971,116.284538,51.1,,3
67,0,1,164.35,2.18,9,40.017946,116.284545,51.0,,3
68,0,1,166.26,2.44,9,40.017921,116.284553,50.9,,3
69,0,1,169.81,3.08,9,40.017895,116.284563,50.9,,3
70,0,1,173.14,3.01,9,40.017869,116.284574,50.8,,3
71,0,1,175.99,2.59,10,40.017844,116.284586,50.7,,4
72,0,1,178.53,2.31,10,40.017819,116.2846,50.7,,2
73,0,1,178.53,3.06,10,40.017794,116.284616,50.6,,7
74,0,1,178.53,3.06,10,40.01777,116.284633,50.6,,7
75,0,1,181.66,2.96,10,40.017747,116.284652,50.6,,3
76,0,1,184.79,2.93,10,40.017724,116.284673,50.6,,3
77,0,1,187.78,2.79,11,40.017702,116.284695,50.6,,2
78,0,1,191.39,2.94,11,40.017682,116.284719,50.6,,3
79,0,1,194.73,3.05,11,40.017662,116.284745,50.6,,4
80,0,1,198.13,2.96,11,40.017644,116.284773,50.6,,4
81,0,1,206.4,2.16,11,40.017628,116.284798,50.7,,3
82,0,1,208.67,1.86,11,40.017616,116.284819,50.7,,3
83,0,1,210.49,1.41,12,40.017607,116.284835,50.7,,3
84,0,1,215.84,1.22,12,40.017601,116.284851,50.7,,2
85,0,1,220.98,1.59,12,40.017597,116.284874,50.8,,4
86,0,1,223.68,2.28,12,40.017594,116.284905,50.9,,1
87,0,1,226.37,2.38,12,40.017593,116.284941,51.0,,3
88,0,1,229.18,2.54,12,40.017594,116.28498,51.2,,3
89,0,1,232.17,2.77,13,40.017595,116.28502,51.2,,5
90,0,1,235.52,3.02,13,40.017598,116.28506,51.3,,1
91,0,1,239.28,3.17,13,40.017602,116.2851,51.3,,3
92,0,1,243.06,3.12,13,40.017606,116.285141,51.4,,2
93,0,1,246.57,3.03,13,40.017611,116.285181,51.4,,6
94,0,1,249.93,2.99,13,40.017616,116.28522,51.5,,6
95,0,1,253.17,2.79,14,40.017621,116.285259,51.5,,2
96,0,1,256.24,2.82,14,40.017625,116.285298,51.6,,3
97,0,1,259.31,2.7,14,40.017629,116.285335,51.6,,3
98,0,1,262.31,2.74,14,40.017632,116.285371,51.6,,3
99,0,1,265.44,3.04,14,40.017633,116.285406,51.7,,6
100,0,1,268.91,2.85,14,40.017635,116.285441,51.7,,6
101,0,1,272.1,2.61,15,40.017636,116.285474,51.7,,5
102,0,1,274.9,2.59,15,40.017637,116.285506,51.7,,4
103,0,1,277.58,2.35,15,40.017638,116.285537,51.8,,5
104,0,1,279.98,2.56,15,40.017639,116.285567,51.8,,2
105,0,1,282.56,2.25,15,40.017641,116.285596,51.8,,3
106,0,1,284.87,2.17,15,40.017643,116.285624,51.8,,3
107,0,1,287.26,2.38,16,40.017646,116.285652,51.9,,2
108,0,1,289.89,2.25,16,40.01765,116.28568,51.9,,4
109,0,1,292.38,2.4,16,40.017653,116.285708,51.9,,2
110,0,1,295.03,2.54,16,40.017655,116.285737,51.9,,3
111,0,1,297.94,2.59,16,40.017658,116.285767,52.0,,7
112,0,1,300.77,2.54,16,40.017659,116.285799,52.0,,7
113,0,1,303.69,2.63,17,40.017661,116.285832,52.0,,3
114,0,1,303.69,2.77,17,40.017662,116.285868,52.0,,5
115,0,1,303.69,2.78,17,40.017664,116.285904,51.9,,3
116,0,1,307.02,3.04,17,40.017664,116.285942,51.8,,5
117,0,1,309.58,3.06,17,40.017662,116.285979,51.8,,3
118,0,1,312.69,2.82,17,40.017657,116.286014,51.7,,1
119,0,1,315.79,2.9,18,40.017648,116.286047,51.7,,4
120,0,1,319.15,2.66,18,40.017635,116.286075,51.7,,3
121,0,1,322.18,2.83,18,40.017617,116.2861,51.6,,3
122,0,1,324.87,2.46,18,40.017596,116.286121,51.6,,3
123,0,1,328.22,2.58,18,40.017573,116.286139,51.6,,2
124,0,1,331.5,2.87,18,40.01755,116.286153,51.6,,3
125,0,1,334.73,2.91,19,40.017526,116.286165,51.6,,3
126,0,1,337.14,3.03,19,40.017502,116.286174,51.6,,2
127,0,1,345.72,2.93,19,40.017477,116.28618,51.7,,3
128,0,1,349.92,2.8,19,40.017453,116.286185,51.8,,3
129,0,1,352.73,2.57,19,40.017428,116.286188,51.9,,0
130,0,1,355.25,2.37,19,40.017404,116.286189,52.0,,0
131,0,1,357.55,2.24,20,40.017381,116.28619,52.0,,2
132,0,1,359.84,2.45,20,40.017357,116.28619,52.1,,3
133,0,1,362.46,2.27,20,40.017335,116.286189,52.2,,3
134,0,1,364.91,2.27,20,40.017312,116.286188,52.3,,2
135,0,1,367.22,2.14,20,40.017291,116.286187,52.4,,4
136,0,1,369.39,2.09,20,40.017269,116.286187,52.5,,2
137,0,1,371.64,2.39,21,40.017248,116.286188,52.6,,3
138,0,1,374.31,2.53,21,40.017227,116.28619,52.6,,3
139,0,1,377.13,2.61,21,40.017206,116.286194,52.7,,3
140,0,1,379.87,2.45,21,40.017185,116.2862,52.8,,1
141,0,1,382.4,2.5,21,40.017164,116.286208,52.9,,3
142,0,1,385.07,2.72,21,40.017143,116.286218,53.0,,4
143,0,1,387.86,2.38,22,40.017121,116.286231,53.1,,4
144,0,1,390.31,2.62,22,40.0171,116.286245,53.2,,5
145,0,1,393.14,2.53,22,40.017079,116.286261,53.3,,4
146,0,1,396.02,2.56,22,40.017059,116.286278,53.4,,3
147,0,1,398.95,2.7,22,40.017039,116.286297,53.5,,4
148,0,1,401.46,2.34,22,40.01702,116.286317,53.6,,1
149,0,1,401.46,2.4,23,40.017002,116.286338,53.7,,3
150,0,1,401.46,2.66,23,40.016984,116.28636,53.8,,3
151,0,1,404.28,2.62,23,40.016968,116.286382,53.9,,2
152,0,1,406.58,2.67,23,40.016952,116.286406,54.0,,3
153,0,1,409.3,2.55,23,40.016937,116.286429,54.1,,5
154,0,1,411.93,2.46,23,40.016922,116.286452,54.2,,5
155,0,1,414.66,2.5,24,40.016908,116.286476,54.3,,4
156,0,1,417.27,2.44,24,40.016893,116.286499,54.4,,2
157,0,1,419.85,2.41,24,40.016879,116.286522,54.5,,3
158,0,1,422.32,2.35,24,40.016865,116.286544,54.6,,3
159,0,1,424.85,2.36,24,40.01685,116.286566,54.7,,3
