time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,1.63,0,40.019401,116.285164,55.2,,9
1,0,1,1.19,1.14,0,40.0194,116.285151,55.2,,0
2,0,1,2.57,1.23,0,40.019398,116.285136,55.2,,3
3,0,1,3.99,1.2,0,40.019395,116.285118,55.2,,2
4,0,1,5.46,1.29,0,40.019392,116.285098,55.2,,4
5,0,1,7.05,1.63,0,40.019388,116.285076,55.2,,2
6,0,1,8.85,2.27,0,40.019383,116.285052,55.2,,3
7,0,1,10.8,2.31,0,40.019378,116.285027,55.2,,3
8,0,1,12.92,2.61,0,40.019372,116.285,55.2,,3
9,0,1,15.15,2.58,0,40.019365,116.284972,55.1,,8
10,0,1,17.49,2.61,0,40.019358,116.284943,54.9,,8
11,0,1,19.91,2.6,1,40.019351,116.284913,54.8,,3
12,0,1,22.39,2.61,1,40.019343,116.284882,54.7,,2
13,0,1,24.93,2.67,1,40.019336,116.28485,54.5,,4
14,0,1,27.52,2.58,1,40.019327,116.284818,54.4,,2
15,0,1,30.19,2.92,1,40.019319,116.284786,54.2,,6
16,0,1,32.94,3.05,1,40.01931,116.284753,54.1,,6
17,0,1,35.75,3.0,2,40.019301,116.284721,53.9,,3
18,0,1,38.61,2.98,2,40.019293,116.284689,53.8,,3
19,0,1,41.51,2.84,2,40.019284,116.284657,53.6,,3
20,0,1,44.44,2.88,2,40.019275,116.284626,53.5,,3
21,0,1,47.38,2.74,2,40.019265,116.284597,53.4,,2
22,0,1,50.32,2.53,2,40.019254,116.284569,53.3,,4
23,0,1,53.26,2.55,3,40.019242,116.284544,53.2,,2
24,0,1,56.2,2.47,3,40.019229,116.284521,53.1,,3
25,0,1,59.14,2.54,3,40.019213,116.284501,52.9,,3
26,0,1,62.08,2.04,3,40.019194,116.284484,52.8,,1
27,0,1,65.02,2.24,3,40.019172,116.284471,52.7,,3
28,0,1,67.96,2.56,3,40.019147,116.284462,52.7,,2
29,0,1,70.89,2.86,4,40.019118,116.284456,52.7,,4
30,0,1,73.83,3.31,4,40.019085,116.284454,52.7,,3
31,0,1,76.76,3.55,4,40.01905,116.284455,52.6,,2
32,0,1,79.7,3.77,4,40.019012,116.284459,52.6,,3
33,0,1,82.64,3.63,4,40.018975,116.284465,52.6,,3
34,0,1,85.58,3.24,4,40.018938,116.284472,52.6,,3
35,0,1,88.52,3.41,5,40.018904,116.284479,52.6,,3
36,0,1,91.46,3.22,5,40.018872,116.284486,52.6,,3
37,0,1,94.41,3.07,5,40.018844,116.284493,52.6,,3
38,0,1,97.36,2.94,5,40.018817,116.284499,52.6,,4
39,0,1,100.31,2.96,5,40.01879,116.284504,52.6,,1
40,0,1,103.27,2.36,5,40.018764,116.284509,52.6,,4
41,0,1,106.22,2.84,6,40.018736,116.284512,52.6,,3
42,0,1,109.18,3.02,6,40.018706,116.284515,52.6,,3
43,0,1,112.14,3.59,6,40.018673,116.284518,52.6,,2
44,0,1,115.1,3.63,6,40.01864,116.284521,52.6,,4
45,0,1,118.07,3.63,6,40.018606,116.284524,52.6,,3
46,0,1,121.03,3.65,6,40.018571,116.284529,52.6,,3
47,0,1,124.2,3.73,7,40.018536,116.284535,52.5,,3
48,0,1,127.47,3.61,7,40.018502,116.284543,52.5,,3
49,0,1,149.34,3.38,7,40.018468,116.284551,52.5,,3
50,0,1,153.07,3.32,7,40.018434,116.284559,52.5,,3
51,0,1,157.17,3.69,7,40.018402,116.284567,52.5,,3
52,0,1,161.12,3.54,8,40.01837,116.284572,52.5,,3
53,0,1,164.83,3.3,8,40.018339,116.284576,52.5,,3
54,0,1,168.34,3.1,8,40.01831,116.284577,52.4,,3
55,0,1,171.24,2.49,8,40.018282,116.284576,52.3,,2
56,0,1,174.28,2.63,8,40.018255,116.284573,52.2,,4
57,0,1,177.44,2.75,9,40.01823,116.284568,52.1,,3
58,0,1,180.63,2.84,9,40.018206,116.284562,52.0,,3
59,0,1,180.63,2.7,9,40.018184,116.284554,51.9,,2
60,0,1,180.63,2.26,9,40.018163,116.284546,51.8,,3
61,0,1,183.07,2.06,9,40.018143,116.284538,51.7,,3
62,0,1,183.07,1.96,9,40.018123,116.284533,51.7,,4
63,0,1,183.07,1.77,10,40.018104,116.284531,51.6,,2
64,0,1,184.9,1.42,10,40.018084,116.284533,51.5,,3
65,0,1,190.66,1.93,10,40.018065,116.284541,51.5,,4
66,0,1,192.55,1.48,10,40.018043,116.284552,51.4,,0
67,0,1,195.35,2.54,10,40.018018,116.284563,51.3,,3
68,0,1,198.92,3.16,10,40.017989,116.284572,51.2,,3
69,0,1,202.74,3.41,11,40.017957,116.28458,51.1,,6
70,0,1,202.74,3.52,11,40.017923,116.28459,51.0,,6
71,0,1,202.74,3.54,11,40.01789,116.284602,51.0,,3
72,0,1,206.46,3.43,11,40.017859,116.284613,50.9,,3
73,0,1,209.61,2.83,11,40.017832,116.284625,50.8,,1
74,0,1,212.82,2.92,11,40.017807,116.284639,50.8,,4
75,0,1,215.93,3.09,12,40.017785,116.28466,50.7,,6
76,0,1,219.74,3.55,12,40.017762,116.284689,50.7,,6
77,0,1,223.69,3.69,12,40.01774,116.284723,50.8,,2
78,0,1,232.49,3.43,12,40.017719,116.284757,50.8,,2
79,0,1,244.22,3.23,12,40.0177,116.284787,50.8,,3
80,0,1,249.05,2.71,12,40.017683,116.284813,50.9,,2
81,0,1,251.59,1.97,13,40.017669,116.284838,50.9,,4
82,0,1,253.5,2.26,13,40.017659,116.284864,51.0,,2
83,0,1,255.84,2.33,13,40.017651,116.284892,51.0,,3
84,0,1,258.36,2.56,13,40.017646,116.284921,51.1,,3
85,0,1,261.17,2.53,13,40.017644,116.284952,51.2,,3
86,0,1,263.9,2.53,13,40.017643,116.284983,51.3,,3
87,0,1,266.71,2.69,14,40.017645,116.285016,51.4,,10
88,0,1,269.66,2.42,14,40.017647,116.28505,51.4,,10
89,0,1,272.3,2.63,14,40.017651,116.285085,51.4,,2
90,0,1,275.17,2.85,14,40.017655,116.28512,51.5,,3
91,0,1,278.19,2.72,14,40.01766,116.285156,51.5,,3
