time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,1.77,1.81,0,31.552592,120.24454,1.9,,14
1,0,1,3.68,1.43,0,31.552596,120.244525,1.9,,0
2,0,1,5.5,1.24,0,31.552598,120.244512,1.9,,0
3,0,1,7.11,1.14,0,31.552596,120.244499,1.9,,1
4,0,1,8.75,1.27,0,31.552593,120.244486,1.9,,3
5,0,1,10.47,1.65,0,31.552587,120.244474,1.9,,3
6,0,1,12.22,1.56,0,31.552578,120.24446,1.9,,1
7,0,1,14.01,1.6,0,31.552568,120.244445,1.9,,2
8,0,1,15.86,1.74,0,31.552556,120.244429,1.9,,3
9,0,1,17.85,2.53,1,31.552543,120.244412,1.8,,2
10,0,1,19.94,2.66,1,31.552527,120.244392,1.8,,3
11,0,1,22.1,2.4,1,31.55251,120.244369,1.8,,1
12,0,1,24.33,2.61,1,31.552493,120.244344,1.8,,2
13,0,1,26.62,2.69,1,31.552474,120.244318,1.9,,4
14,0,1,29.0,2.99,1,31.552454,120.244292,1.9,,3
15,0,1,31.46,3.07,1,31.552434,120.244265,2.0,,2
16,0,1,34.01,3.27,1,31.552414,120.24424,2.1,,2
17,0,1,36.62,2.96,2,31.552393,120.244217,2.1,,3
18,0,1,39.28,2.81,2,31.552371,120.244197,2.1,,3
19,0,1,41.94,2.25,2,31.552349,120.244179,2.2,,1
20,0,1,44.64,2.78,2,31.552326,120.24416,2.2,,4
21,0,1,47.34,3.4,2,31.552301,120.244139,2.2,,2
22,0,1,50.04,2.81,2,31.552276,120.244116,2.3,,3
23,0,1,52.74,2.72,3,31.552252,120.244092,2.3,,3
24,0,1,55.45,3.01,3,31.552227,120.244067,2.4,,2
25,0,1,58.15,2.97,3,31.552204,120.244041,2.4,,4
26,0,1,60.86,2.7,3,31.552183,120.244015,2.4,,1
27,0,1,63.56,1.43,3,31.552164,120.243989,2.5,,2
28,0,1,66.27,2.19,3,31.552147,120.243963,2.5,,3
29,0,1,68.98,2.73,4,31.552132,120.243935,2.6,,3
30,0,1,71.68,3.1,4,31.552119,120.243905,2.6,,3
31,0,1,74.4,3.35,4,31.552108,120.243872,2.6,,2
32,0,1,77.11,2.79,4,31.552098,120.243838,2.7,,4
33,0,1,79.83,2.38,4,31.552089,120.243806,2.7,,7
34,0,1,82.54,2.25,4,31.552079,120.243776,2.7,,7
35,0,1,85.26,2.79,5,31.55207,120.243749,2.8,,3
36,0,1,87.98,2.46,5,31.552059,120.243724,2.8,,4
37,0,1,90.7,2.34,5,31.552049,120.2437,2.8,,5
38,0,1,93.43,2.58,5,31.552037,120.243676,2.9,,3
39,0,1,96.15,2.55,5,31.552025,120.243652,2.9,,2
40,0,1,98.88,2.32,5,31.552013,120.243628,3.0,,3
41,0,1,101.6,2.46,6,31.551999,120.243602,3.0,,3
42,0,1,104.33,2.88,6,31.551985,120.243575,3.1,,2
43,0,1,107.06,2.8,6,31.551971,120.243548,3.1,,3
44,0,1,109.79,2.92,6,31.551956,120.24352,3.2,,3
45,0,1,112.52,2.18,6,31.551941,120.243492,3.2,,3
46,0,1,115.24,2.47,6,31.551927,120.243463,3.3,,2
47,0,1,117.97,2.39,7,31.551912,120.243434,3.3,,1
48,0,1,120.7,2.73,7,31.551898,120.243405,3.4,,3
49,0,1,140.33,2.91,7,31.551885,120.243376,3.4,,3
50,0,1,143.61,2.87,7,31.551872,120.243347,3.5,,2
51,0,1,146.8,2.78,7,31.55186,120.243319,3.5,,4
52,0,1,149.95,2.74,7,31.551849,120.243291,3.4,,2
53,0,1,152.78,2.42,8,31.551839,120.243263,3.3,,3
54,0,1,155.83,2.64,8,31.551829,120.243235,3.2,,3
55,0,1,157.97,1.73,8,31.551821,120.243208,3.1,,6
56,0,1,160.59,2.21,8,31.551812,120.243181,3.0,,1
57,0,1,163.49,2.49,8,31.551805,120.243154,3.0,,3
58,0,1,166.23,2.33,8,31.551798,120.243127,2.9,,3
59,0,1,166.23,2.54,9,31.551791,120.243099,2.7,,3
60,0,1,166.23,2.25,9,31.551785,120.243072,2.6,,2
61,0,1,168.43,1.73,9,31.551779,120.243044,2.5,,3
