time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,2.05,2.54,0,40.002933,116.312366,46.8,,16
1,0,1,4.87,2.42,0,40.002951,116.312363,46.8,,0
2,0,1,7.65,2.49,0,40.002969,116.31236,46.8,,4
3,0,1,10.31,2.15,0,40.002988,116.312358,46.9,,3
4,0,1,12.89,2.1,0,40.003007,116.312356,46.9,,2
5,0,1,15.3,1.66,0,40.003026,116.312354,46.9,,6
6,0,1,17.67,1.89,1,40.003046,116.312353,47.0,,6
7,0,1,20.02,1.85,1,40.003065,116.312351,47.0,,2
8,0,1,22.36,1.98,1,40.003085,116.31235,47.0,,3
9,0,1,24.71,2.07,1,40.003105,116.312348,47.1,,3
10,0,1,27.08,2.29,1,40.003124,116.312347,47.1,,2
11,0,1,29.49,2.33,1,40.003144,116.312346,47.1,,3
12,0,1,31.91,2.15,1,40.003164,116.312345,47.1,,3
13,0,1,34.3,1.87,2,40.003184,116.312343,47.2,,4
14,0,1,36.64,1.79,2,40.003204,116.312342,47.2,,4
15,0,1,38.99,2.1,2,40.003223,116.312341,47.2,,2
16,0,1,41.35,2.16,2,40.003243,116.31234,47.3,,3
17,0,1,43.74,2.37,2,40.003262,116.312339,47.3,,2
18,0,1,46.17,2.37,2,40.003281,116.312338,47.3,,2
19,0,1,48.61,2.32,3,40.0033,116.312336,47.4,,2
20,0,1,51.06,2.16,3,40.003318,116.312335,47.4,,3
21,0,1,53.51,2.21,3,40.003336,116.312333,47.4,,2
22,0,1,55.96,2.24,3,40.003354,116.312331,47.4,,3
23,0,1,58.41,1.64,3,40.003372,116.31233,47.4,,1
24,0,1,60.86,1.81,3,40.003389,116.312328,47.3,,1
25,0,1,63.31,1.84,3,40.003406,116.312327,47.3,,4
26,0,1,65.75,1.63,4,40.003423,116.312327,47.3,,4
27,0,1,68.19,1.63,4,40.00344,116.312328,47.3,,3
28,0,1,70.64,1.71,4,40.003456,116.312331,47.3,,3
29,0,1,73.08,1.79,4,40.003473,116.312336,47.3,,3
30,0,1,75.52,1.98,4,40.00349,116.31234,47.3,,3
31,0,1,77.96,1.98,4,40.003508,116.312343,47.3,,3
32,0,1,80.4,2.12,5,40.003527,116.312343,47.3,,2
33,0,1,82.83,2.17,5,40.003547,116.312341,47.3,,2
34,0,1,85.27,2.12,5,40.003567,116.312338,47.2,,2
35,0,1,87.7,2.14,5,40.003587,116.312336,47.2,,3
36,0,1,90.13,2.1,5,40.003608,116.312335,47.2,,2
37,0,1,92.56,2.32,5,40.003629,116.312333,47.2,,3
38,0,1,94.99,2.42,5,40.003651,116.312332,47.2,,3
39,0,1,97.43,2.58,6,40.003673,116.31233,47.1,,2
40,0,1,99.86,2.46,6,40.003694,116.312329,47.1,,4
41,0,1,102.29,2.41,6,40.003716,116.312328,47.1,,2
42,0,1,104.72,2.35,6,40.003738,116.312327,47.1,,3
43,0,1,107.16,2.37,6,40.003761,116.312327,47.1,,3
44,0,1,109.6,2.31,6,40.003783,116.312326,47.1,,2
45,0,1,112.03,2.34,7,40.003804,116.312325,47.0,,3
46,0,1,114.47,2.41,7,40.003826,116.312324,47.0,,3
47,0,1,116.91,2.3,7,40.003848,116.312323,47.0,,3
48,0,1,119.35,2.51,7,40.00387,116.312322,47.0,,3
49,0,1,119.7,2.49,7,40.003892,116.31232,47.0,,2
50,0,1,122.36,2.4,7,40.003914,116.312318,47.0,,3
51,0,1,125.03,2.41,7,40.003935,116.312316,46.9,,3
52,0,1,127.7,2.41,8,40.003957,116.312313,46.9,,3
53,0,1,130.36,2.4,8,40.003979,116.312309,46.9,,3
54,0,1,133.17,2.55,8,40.004001,116.312305,46.9,,2
55,0,1,133.17,2.48,8,40.004023,116.312301,46.9,,5
56,0,1,133.17,2.14,8,40.004046,116.312295,46.8,,2
57,0,1,135.58,2.41,8,40.004068,116.31229,46.8,,4
58,0,1,138.52,2.59,8,40.004091,116.312284,46.8,,3
59,0,1,141.4,2.53,9,40.004113,116.312278,46.8,,2
60,0,1,141.4,2.66,9,40.004137,116.312273,46.7,,4
61,0,1,147.76,2.53,9,40.00416,116.312268,46.7,,2
62,0,1,151.98,2.28,9,40.004184,116.312264,46.7,,3
63,0,1,154.33,2.33,9,40.004208,116.312261,46.8,,3
64,0,1,156.92,2.33,9,40.004233,116.312259,46.8,,3
65,0,1,159.96,2.78,10,40.004258,116.312259,46.8,,3
66,0,1,159.96,3.0,10,40.004284,116.31226,46.9,,3
67,0,1,159.96,3.06,10,40.00431,116.312262,46.9,,3
68,0,1,165.47,2.98,10,40.004336,116.312265,46.9,,3
69,0,1,171.97,2.99,10,40.004361,116.312269,47.0,,2
70,0,1,175.76,2.73,10,40.004387,116.312274,47.0,,2
71,0,1,178.65,2.51,10,40.004411,116.312279,47.0,,2
72,0,1,181.24,2.37,11,40.004435,116.312284,47.1,,3
73,0,1,183.66,2.3,11,40.004457,116.312289,47.1,,3
74,0,1,186.1,2.14,11,40.004478,116.312294,47.1,,3
75,0,1,188.32,1.89,11,40.004497,116.312298,47.2,,3
76,0,1,190.31,2.01,11,40.004515,116.312302,47.2,,3
77,0,1,192.44,1.96,11,40.00453,116.312304,47.2,,2
78,0,1,194.46,1.93,12,40.004544,116.312305,47.2,,4
79,0,1,196.28,1.51,12,40.004558,116.312307,47.2,,2
80,0,1,197.58,1.28,12,40.004573,116.312307,47.3,,3
81,0,1,198.79,1.65,12,40.004591,116.312309,47.3,,3
82,0,1,200.78,2.29,12,40.004611,116.31231,47.3,,2
83,0,1,203.72,2.57,12,40.004635,116.312312,47.3,,2
84,0,1,206.91,2.62,12,40.004659,116.312314,47.4,,3
85,0,1,209.99,2.63,13,40.004685,116.312316,47.4,,4
86,0,1,212.95,2.56,13,40.004711,116.312319,47.4,,4
87,0,1,215.82,2.98,13,40.004736,116.312322,47.5,,1
88,0,1,218.84,2.7,13,40.004761,116.312325,47.5,,2
89,0,1,219.51,2.92,13,40.004787,116.312332,47.5,,3
90,0,1,224.43,2.99,13,40.004813,116.312341,47.6,,3
91,0,1,227.82,3.13,14,40.004838,116.312355,47.6,,3
92,0,1,230.81,2.64,14,40.00486,116.312372,47.7,,2
93,0,1,230.81,2.67,14,40.004879,116.312394,47.7,,3
94,0,1,230.81,2.66,14,40.004894,116.31242,47.8,,3
